cluster_primary,PooledFundName,AllocationYear,OrganizationName,ProjectTitle,budget_usd,beneficiaries_total,cpb_usd_per_beneficiary,cpb_percentile_in_cluster,z_log10_cpb,flag_iqr_high,flag_z_high,flag_pct_high,flag_beneficiaries_gt_country_pop,outlier_reason,cluster_evidence
Health,oPt,2025,Al Awda Health and Community Association,Enhancing the emergency response capacity of AWDA health facilities - Gaza Strip,1000000.0,1.0,1000000.0,1.0,7.53140069399791,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 7.53 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th),Health (keywords: health)
Shelter/NFI,oPt,2025,Agency for Technical Cooperation and Development,Improving Living Conditions in Underserved Sites through Emergency Shelter Support,800000.0,1.0,800000.0,0.9996546961325967,6.736775406652077,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 6.74 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th)",Shelter/NFI (keywords: shelter)
Shelter/NFI,oPt,2025,CARE International,"Provision of urgent dignified shelter solutions that reduce protection risks, restore safety and improve living conditions for populations affected by",800000.0,1.0,800000.0,0.9996546961325967,6.736775406652077,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 6.74 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th)",Shelter/NFI (keywords: shelter); also matched: Protection
WASH,oPt,2025,CARE International,"Ensuring rapid access to safe water, sanitation and hygiene services for vulnerable communities in Gaza, through water trucking, distribution of WASH",750000.0,1.0,750000.0,1.0,8.448631096825714,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 8.45 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th),"WASH (keywords: wash, water, sanitation, hygiene)"
Health,oPt,2025,Medical Aid for Palestinians,Essential medical supplies and support to patients requiring critical elective surgeries in Gaza strip.,600000.0,1.0,600000.0,0.9996246246246246,7.189485536262171,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 7.19 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th),Health (keywords: medical)
Health,oPt,2025,CARE International,Improved access to essential health services for the affected population in Deir el Balah.,500000.0,1.0,500000.0,0.9992492492492493,7.067450734268002,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 7.07 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),Health (keywords: health)
WASH,oPt,2025,OXFAM Novib,"Emergency life-saving WASH services to conflict affected communities, returnees and new IDPs in the Gaza Strip.",500000.0,1.0,500000.0,0.9995700773860705,8.126152746390012,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 8.13 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th),WASH (keywords: wash)
Food Security,oPt,2025,Mercy Corps,Home Gardening: Strengthening Household Livelihoods through Micro Agriculture,500000.0,1.0,500000.0,1.0,6.166456657326071,True,True,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); Z-score 6.17 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th)","Food Security (keywords: livelihood, agric)"
Nutrition,oPt,2025,CARE International,Improving nutritional outcomes for households in high nutritional risk throughout Gaza,500000.0,1.0,500000.0,1.0,7.2567796464907275,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 7.26 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
Protection,oPt,2025,United Nations Population Fund,"Urgent Protection for Women, Girls, and Adolescents in Gaza: Pre-Positioned Supplies and Life-Saving Services",1000000.0,2.0,500000.0,1.0,6.976451897350392,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 6.98 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th),Protection (keywords: protection)
Food Security,oPt,2025,OXFAM Novib,48 hr Anticipatory Food Security Response for Vulnerable Households in Gaza -ESDC,450000.0,1.0,450000.0,0.9990689013035382,6.097783186853501,True,True,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); Z-score 6.10 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th)",Food Security (keywords: food security)
Shelter/NFI,Syria,2017,United Nations Human Settlements Programme (UN-HABITAT),Rapid Technical Assessment for damaged Residential buildings in Shelter Priority Neighborhoods in Aleppo,299707.0,1.0,299707.0,0.9986187845303868,6.047483322427306,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 6.05 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th)",Shelter/NFI (keywords: shelter)
Protection,oPt,2025,Al Awda Health and Community Association,Establishing a Centralized Protection Warehouse (PWH) for Emergency Protection Response (EPRs) in Gaza Strip,294078.8,1.0,294078.8,0.9994033412887828,6.58787679464803,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 6.59 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),Protection (keywords: protection)
Nutrition,oPt,2025,Save the Children,"Strengthening the nutritional resilience of infants, young children, pregnant and lactating women in crises situations.",250000.0,1.0,250000.0,0.9992846924177397,6.7478868954573334,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 6.75 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
Nutrition,DRC,2020,United Nations Children's Fund,"Appui à l’achat, au stockage et a la distribution des intrants nutritionnels pour les réponses aux crises nutritionnelles en RDC",1299333.6,6.0,216555.6,0.9985693848354793,6.642449093525214,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 6.64 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
Shelter/NFI,oPt,2025,Première Urgence Internationale,"Emergency Shelter and NFI Support for Vulnerable, Displaced, and Returnee Households Affected by Gaza Conflict",800000.0,5.0,160000.0,0.9979281767955801,5.606845089877654,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 5.61 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th)","Shelter/NFI (keywords: shelter, nfi)"
WASH,oPt,2025,Fundacion Accion Contra El Hambre (Action Against Hunger ),Emergency WASH Response for Displacement-Affected Communities in Gaza Strip,800000.0,5.0,160000.0,0.999140154772141,7.219927079311284,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 7.22 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),WASH (keywords: wash)
